data/barcode57.fastq , 129782,barcode57_perfect_umis.fastq , 62598,final_barcode57.fastq , 48804
data/barcode58.fastq , 40035,barcode58_perfect_umis.fastq , 23180,final_barcode58.fastq , 20117
data/barcode59.fastq , 283539,barcode59_perfect_umis.fastq , 174942,final_barcode59.fastq , 166775
data/barcode60.fastq , 76139,barcode60_perfect_umis.fastq , 26898,final_barcode60.fastq , 13250
data/barcode61.fastq , 75617,barcode61_perfect_umis.fastq , 45395,final_barcode61.fastq , 40334
data/barcode62.fastq , 74636,barcode62_perfect_umis.fastq , 45564,final_barcode62.fastq , 41023
data/barcode63.fastq , 278632,barcode63_perfect_umis.fastq , 194851,final_barcode63.fastq , 187395
data/barcode64.fastq , 61794,barcode64_perfect_umis.fastq , 32602,final_barcode64.fastq , 27590
data/barcode65.fastq , 118061,barcode65_perfect_umis.fastq , 79834,final_barcode65.fastq , 76545
data/barcode66.fastq , 117479,barcode66_perfect_umis.fastq , 76082,final_barcode66.fastq , 69957
data/barcode67.fastq , 133034,barcode67_perfect_umis.fastq , 62408,final_barcode67.fastq , 56434
data/barcode68.fastq , 62333,barcode68_perfect_umis.fastq , 30985,final_barcode68.fastq , 25770
data/barcode69.fastq , 199404,barcode69_perfect_umis.fastq , 122404,final_barcode69.fastq , 111904
data/barcode70.fastq , 167446,barcode70_perfect_umis.fastq , 104651,final_barcode70.fastq , 94460
data/barcode71.fastq , 120735,barcode71_perfect_umis.fastq , 70881,final_barcode71.fastq , 65100
data/barcode72.fastq , 521270,barcode72_perfect_umis.fastq , 333362,final_barcode72.fastq , 309821
data/barcode73.fastq , 106226,barcode73_perfect_umis.fastq , 68359,final_barcode73.fastq , 63770
data/barcode74.fastq , 235161,barcode74_perfect_umis.fastq , 163028,final_barcode74.fastq , 156959
data/barcode75.fastq , 40325,barcode75_perfect_umis.fastq , 22857,final_barcode75.fastq , 19548
data/barcode76.fastq , 182739,barcode76_perfect_umis.fastq , 102045,final_barcode76.fastq , 95041
data/barcode77.fastq , 57976,barcode77_perfect_umis.fastq , 37880,final_barcode77.fastq , 35258
